Date,Open,High,Low,Close
8/31/2023,"1,704.11","1,720.08","1,646.51","1,647.42"
9/1/2023,"1,648.08","1,654.00","1,603.23","1,629.34"
9/2/2023,"1,628.00","1,644.46","1,624.72","1,634.45"
9/3/2023,"1,634.30","1,645.36","1,625.25","1,642.73"
9/4/2023,"1,642.73","1,645.39","1,620.53","1,627.10"
9/5/2023,"1,627.90","1,645.50","1,609.63","1,629.31"
9/6/2023,"1,629.23","1,657.18","1,612.10","1,628.00"
9/7/2023,"1,628.00","1,640.82","1,623.08","1,638.72"
9/8/2023,"1,639.00","1,657.78","1,617.35","1,636.05"
9/9/2023,"1,636.28","1,637.92","1,629.73","1,633.73"
9/10/2023,"1,633.73","1,636.68","1,603.89","1,619.14"
9/11/2023,"1,618.62","1,627.00","1,532.00","1,540.25"
9/12/2023,"1,541.43","1,617.74","1,538.90","1,599.23"
9/13/2023,"1,597.61","1,610.15","1,582.00","1,604.73"
9/14/2023,"1,604.01","1,639.83","1,603.23","1,628.99"
9/15/2023,"1,626.52","1,636.09","1,612.62","1,621.50"
9/16/2023,"1,621.90","1,651.97","1,621.90","1,635.44"
9/17/2023,"1,635.44","1,638.21","1,615.31","1,617.37"
9/18/2023,"1,616.40","1,669.01","1,609.92","1,638.02"
9/19/2023,"1,638.01","1,659.86","1,627.67","1,642.87"
9/20/2023,"1,642.62","1,649.28","1,607.55","1,623.35"
9/21/2023,"1,624.13","1,629.32","1,568.91","1,588.24"
9/22/2023,"1,586.76","1,601.89","1,578.97","1,591.06"
9/23/2023,"1,591.52","1,598.00","1,588.21","1,593.68"
9/24/2023,"1,593.68","1,600.50","1,579.73","1,590.66"
9/25/2023,"1,590.66","1,596.17","1,564.11","1,586.68"
9/26/2023,"1,586.68","1,597.86","1,580.35","1,586.61"
9/27/2023,"1,586.19","1,632.16","1,583.53","1,594.33"
9/28/2023,"1,594.32","1,665.41","1,592.97","1,657.07"
9/29/2023,"1,656.50","1,687.47","1,644.20","1,667.04"
